Date,Open,High,Low,Close,Volume
21-10-2008,9262.8,9284.55,9004.27,9033.66,231071001
22-10-2008,9027.84,9027.84,8335.3,8519.21,348746634
23-10-2008,8519.77,8795.99,8243.55,8691.25,340650407
24-10-2008,8683.21,8683.21,8187.48,8378.95,335653187
27-10-2008,8375.92,8599.1,8143.59,8175.77,281121943
28-10-2008,8178.72,9082.08,8174.73,9065.12,372079211
29-10-2008,9062.33,9363.32,8890.29,8990.96,316250883
30-10-2008,9004.66,9266.47,8976.87,9180.69,267279416
31-10-2008,9180.69,9450.21,9121.11,9325.01,310919108
03-11-2008,9326.04,9410.55,9255.48,9319.83,180894664
04-11-2008,9323.89,9651.01,9323.89,9625.28,254931774
05-11-2008,9616.6,9616.6,9112.67,9139.27,264582388
06-11-2008,9134.01,9155.44,8637.17,8695.79,344291302
07-11-2008,8696.03,8961.57,8696.03,8943.81,246298317
10-11-2008,8946.6,9159.58,8760.46,8870.54,221179405
11-11-2008,8864.32,8867.91,8560.71,8693.96,257320850
12-11-2008,8684.52,8684.6,8265.29,8282.66,314748222
13-11-2008,8281.14,8872.85,7969.24,8835.25,476536869
14-11-2008,8822.19,8923.18,8469.99,8497.31,304406125
17-11-2008,8494.84,8571.3,8246.89,8273.58,278254163
18-11-2008,8273.34,8477.95,8105.44,8424.75,366390728
19-11-2008,8420.69,8504.64,7987.08,7997.28,350532812
20-11-2008,7995.53,8187,7514.13,7552.29,528211028
21-11-2008,7552.37,8071.75,7449.38,8046.42,569075484
24-11-2008,8048.09,8598.94,8048.09,8443.39,491840504
25-11-2008,8445.14,8607.38,8281.46,8479.47,374001061
26-11-2008,8464.49,8726.61,8311.17,8726.61,283991211
28-11-2008,8724.7,8831.35,8672.69,8829.04,155512268
01-12-2008,8826.89,8827.05,8142.8,8149.09,321018607
02-12-2008,8153.75,8437.17,8143.51,8419.09,307445614
03-12-2008,8409.14,8624.19,8234.15,8591.69,294760221
04-12-2008,8587.07,8631.99,8259.4,8376.24,280863186
05-12-2008,8376.24,8685.83,8141.04,8635.42,346365798
08-12-2008,8637.65,9026.41,8637.49,8934.18,358968407
09-12-2008,8934.1,8934.1,8651.74,8691.33,284894993
10-12-2008,8693,8879.22,8646.33,8761.42,232880495
11-12-2008,8750.13,8809.45,8512.76,8565.09,290553510
12-12-2008,8563.1,8682.57,8347.81,8629.68,271064747
15-12-2008,8628.81,8676.28,8469.03,8564.53,229890067
16-12-2008,8565.65,8958.79,8565.65,8924.14,337187574
17-12-2008,8921.91,8961.26,8778.07,8824.34,239186071
18-12-2008,8823.94,8883.36,8527.41,8604.99,274171813
19-12-2008,8606.5,8787.23,8550.43,8579.11,550144417
22-12-2008,8573.37,8601.41,8372.26,8519.69,211182199
23-12-2008,8518.65,8604.12,8393.13,8419.49,174634094
24-12-2008,8416.86,8498.5,8416.86,8468.48,66931497
26-12-2008,8468.71,8533.07,8461.78,8515.55,86756284
29-12-2008,8515.87,8530.68,8364.06,8483.93,153738408
30-12-2008,8487.51,8675.24,8487.51,8668.39,162604123
31-12-2008,8666.48,8842.66,8664.89,8776.39,226678518
02-01-2009,8772.25,9065.28,8760.78,9034.69,213697753
05-01-2009,9027.13,9034.37,8892.36,8952.89,233776531
06-01-2009,8954.57,9088.06,8940.95,9015.1,215444382
07-01-2009,8996.94,8996.94,8719.92,8769.7,266628706
08-01-2009,8769.94,8770.02,8651.19,8742.46,226700416
09-01-2009,8738.8,8769.62,8576.96,8599.18,204362916
12-01-2009,8599.26,8602.6,8421.24,8473.97,273538061
13-01-2009,8474.61,8522.08,8376.88,8448.56,304083047
14-01-2009,8446.01,8446.25,8140.72,8200.14,355090853
15-01-2009,8196.24,8286.16,7995.13,8212.49,436597931
16-01-2009,8215.67,8341.2,8109.34,8281.22,439368674
20-01-2009,8279.63,8291.98,7939.93,7949.09,419242757
21-01-2009,7949.17,8242.67,7936.19,8228.1,409940087
22-01-2009,8224.43,8224.83,7957.14,8122.8,419954380
23-01-2009,8108.79,8152.59,7909.03,8077.56,370580244
26-01-2009,8078.04,8231.68,8023.16,8116.03,316799412
